,emotion,text,Clean_Text
18,Anger,El PERÚ está canSadnessnesso de tanta Podredumbre Porquería y Kagadas del PresidenteDeLUJO!  No acierta una! Se dispara a los pies! NO AMA AL PERÚ!,El PERÚ está canSadnessnesso de tanta Podredumbre Porquería Kagadas del PresidenteDeLUJO! acierta una! Se dispara los pies! AMA AL PERÚ!
19,Anger,Ahora me voy a ir a dormir enojado.,Ahora voy ir dormir enojado.
20,Anger,"Al cura le da miedo ponerlo yo creo, ya esta muy grande la maria elsa pa un cura #PerdonaNuestrosPecados","Al cura le da miedo ponerlo yo creo, ya esta muy grande la maria elsa pa un cura #PerdonaNuestrosPecados"
21,Anger,"Como me van a decir gobernada, estoy indignada.","Como van decir gobernada, estoy indignada."
22,Anger,"Necesito personas que digan a todo ""si"" y no que salgan con ""peros"" ","Necesito personas que digan todo ""si"" que salgan con ""peros"""
23,Anger,Mañana en Ayunas 😭😭  Chingue su madre 😄,Mañana en Ayunas 😭😭 Chingue su madre 😄
24,Anger,"Por cada minuto de enfado perdemos sesenta sejun,os de felicidad.","Por cada minuto de enfado perdemos sesenta sejun,os de felicidad."
25,Anger,@Corakoraa @TribunalCJ ira a la basura.una pena perder tiempo en ir a la  justicia burguesa,ira la basura.una pena perder tiempo en ir la justicia burguesa
26,Anger,"Yo me muerdo la lengua por no insultar, y a me lo devuelven así. Veo donde radica el mínimo respeto y educación 😐","Yo muerdo la lengua por insultar, lo devuelven así. Veo donde radica el mínimo respeto educación 😐"
27,Anger,estoy: enfadada y yo nunca me enfado,estoy: enfadada yo nunca enfado
28,Anger,Mi corazón es grande pero mas grande es mi enfado,Mi corazón es grande pero mas grande es mi enfado
29,Anger,el amargo sabor a traición,el amargo sabor traición
30,Anger,El Rey diciendo a l@s catalanes lo qué deben ser x coj... Madre qué país. Ah que ha dicho algo de l@s catalanes herid@s x la poli... #ironía,El Rey diciendo l catalanes lo qué deben ser x coj... Madre qué país. Ah que ha dicho algo de l catalanes herid x la poli... #ironía
31,Anger,Encima se enojo vieron es más tonto,Encima se enojo vieron es más tonto
32,Anger,"@KloudZNiper Cosas que pasan. Estoy cansado de muchas historias a raiz del pelo. Pero mira el lado positivo, por fin te sigo.","Cosas que pasan. Estoy cansado de muchas historias raiz del pelo. Pero mira el lado positivo, por fin te sigo."
33,Anger,"@Jonathan_Hdez3 si llegas a mi casa con unas así no me enojo, hasta te dejo entrar","si llegas mi casa con unas así enojo, hasta te dejo entrar"
34,Anger,"Sospecho de María Dolores de Cospedal con una oreo envenenada, en el comedor","Sospecho de María Dolores de Cospedal con una oreo envenenada, en el comedor"
35,Anger,"@hum0r @EPN ajajajjaa. Perdón, my Lord. Estoy a 1 minuto de que deje de darme risa, no a menos, como a 5 😂","ajajajjaa. Perdón, Lord. Estoy 1 minuto de que deje de darme risa, menos, como 5 😂"
36,Anger,No creo que puedan comprender mi enojo eterno porque a Cinépolis se le ocurrió proyectar Mulan cuando estoy fuera del país 😡😡,creo que puedan comprender mi enojo eterno porque Cinépolis se le ocurrió proyectar Mulan cuando estoy fuera del país 😡😡
37,Anger,Tengo es como ira de como me tienen la moto en él parqueadero,Tengo es como ira de como tienen la moto en él parqueadero
38,Anger,@europapress Es lo menos que se puede pedir y esperar ante tal afrenta golpista.,Es lo menos que se puede pedir esperar ante tal afrenta golpista.
39,Anger,"Una noche ahogada en llanto, me juré a mi misma que no volvería a dejar que me tratarán como si no valiera nada.","Una noche ahogada en llanto, juré mi misma que volvería dejar que tratarán como si valiera nada."
40,Anger,@Jhosy2121 Cuándo me he enojado contigo oe JAJAJAJA la hago un finde!,Cuándo enojado contigo oe JAJAJAJA la hago un finde!
41,Anger,"Uy, sí. Como me encanta ésta situación y como hay mil trucos #ironía. No hay arreglo, se reconstruye solo.","Uy, sí. Como encanta ésta situación como hay mil trucos #ironía. hay arreglo, se reconstruye solo."
42,Anger,Que rabia cuando se me quita el sueño,Que rabia cuando se quita el sueño
43,Anger,por eso necesito estar re polle y perderme así las dejo de joder ,por eso necesito estar polle perderme así las dejo de joder
44,Anger,"Qué feo irse a dormir con bronca o tristeza no se que es, pero creo que es sensibilidad 😩","Qué feo irse dormir con bronca tristeza se que es, pero creo que es sensibilidad 😩"
45,Anger,"Quiero que mi hermana mire el internado y no quiere, es una soreta.. 😭","Quiero que mi hermana mire el internado quiere, es una soreta.. 😭"
46,Anger,"que les agarro asco, en ésta última, la minita rubia, de ojos claros, resentida porque se la cogió y se fue a buscar un tesoro +","que les agarro asco, en ésta última, la minita rubia, de ojos claros, resentida porque se la cogió se fue buscar un tesoro +"
47,Anger,"@vaymosxpartes Insultos, denunciar la corrupción es insultar?","Insultos, denunciar la corrupción es insultar?"
48,Anger,@NanaBlurl Como asturiana postiza estoy: indignada.,Como asturiana postiza estoy: indignada.
49,Anger,Que pena pero a mi nadie tiene porque reclamarme las polas qué me tome!,Que pena pero mi nadie tiene porque reclamarme las polas qué tome!
50,Anger,Alguien se anda ganando su mentadita de madre ,Alguien se anda ganando su mentadita de madre
51,Anger,"La canción de ""oye mujer"" es la cosa más desagradable y corriente que puede existir ugh! No la tolero ...","La canción de ""oye mujer"" es la cosa más desagradable corriente que puede existir ugh! la tolero ..."
52,Anger,Hoy me atendió un mozo q me gustó. Llegué a mi casa y no se cómo mierda hice pero ya averigüe nombre apellido y gusto musical entre otros.,Hoy atendió un mozo q gustó. Llegué mi casa se cómo mierda hice pero ya averigüe nombre apellido gusto musical entre otros.
53,Anger,No se aguantarme el enojo ni la cara de orto,se aguantarme el enojo ni la cara de orto
54,Anger,Historias de un toledano enfurecido,Historias de un toledano enfurecido
55,Anger,No voy a decir que borralo porque cada vez que lo digo es peor ,voy decir que borralo porque cada vez que lo digo es peor
56,Anger,Un asco a la gente resentida..,Un asco la gente resentida..
57,Anger,Neta ya cállense a la verga todos ,Neta ya cállense la verga todos
58,Anger,algunas personas tienen suerte de q tenga tanta paciencia xq ya las hubiese mando a la mierda,algunas personas tienen suerte de q tenga tanta paciencia xq ya las hubiese mando la mierda
59,Anger,"@infiredannie ... Ofensa directa es una ofensa en la que intento hacer daño, si discrepas de mi pensamiento lo dices y punto","... Ofensa directa es una ofensa en la que intento hacer daño, si discrepas de mi pensamiento lo dices punto"
60,Anger,Ayer pri se re enojo por que la descansábamos por audio con mi herma 😂😂😂,Ayer pri se enojo por que la descansábamos por audio con mi herma 😂😂😂
61,Anger,@MQuevedoF lamentable todos los destrozos y muertes a la GMV..nos da mas razon p la CONSTITUYENTE. VENCEREMOS.....!!!,lamentable todos los destrozos muertes la GMV..nos da mas razon p la CONSTITUYENTE. VENCEREMOS.....!!!
62,Anger,Ya me arrepentí de haber mandado ese mensaje. 😟,Ya arrepentí de haber mandado ese mensaje. 😟
63,Anger,@Pausgarciaa @SofiaHdz1724 Pensé que estabas enojada wowow,Pensé que estabas enojada wowow
64,Anger,Pican jjjuerte los mosquitos ,Pican jjjuerte los mosquitos
65,Anger,La manipulación del poder en forma déspota es una afrenta contra la democracia y esto favorece la corrupción. #corrupciónColombia,La manipulación del poder en forma déspota es una afrenta contra la democracia esto favorece la corrupción. #corrupciónColombia
66,Anger,Sufro de insomnio provocado por la estupida guardia,Sufro de insomnio provocado por la estupida guardia
67,Anger,Por cada mifuto de enfado perdamos sesenta segundos de felicidad.,Por cada mifuto de enfado perdamos sesenta segundos de felicidad.
68,Anger,"@Miotroyo2parte @amparelampa Solo hay que verle la cara de amargada, gentuza y aborto viviente. Para comprender todo. Asco dais asco !!!!!","Solo hay que verle la cara de amargada, gentuza aborto viviente. Para comprender todo. Asco dais asco !!!!!"
69,Anger,"cuando empezó todo me prometí que no pasarían algunas cosas, y hoy... paso!!! #decepcionada #triste #enojada","cuando empezó todo prometí que pasarían algunas cosas, hoy... paso!!! #decepcionada #triste #enojada"
70,Anger,@trepidwarrior esque mi internet esta ripeando ya despues como a las 11 ira bien,esque mi internet esta ripeando ya despues como las 11 ira bien
71,Anger,"@manuelrosalesg Verdad ? Te creemos ? Tu huiste como lo q eres un traidor y cobarde, después negociaste tu salida con esas ratas del  Psuv","Verdad ? Te creemos ? Tu huiste como lo q eres un traidor cobarde, después negociaste tu salida con esas ratas del Psuv"
72,Anger,@zaurendrunks @aIrengoaIz @onlyIaurens Cállate señorita venganza,Cállate señorita venganza
73,Anger,"Lo peor es que como solo te atienden por mail, no se hacen cargo!, la atención al cliente post venta es de #terror @DespegarAr","Lo peor es que como solo te atienden por mail, se hacen cargo!, la atención al cliente post venta es de #terror"
74,Anger,Ellos darían hasta su vida por nosotros y hay personas que los maltratan y menosprecian. 😭,Ellos darían hasta su vida por nosotros hay personas que los maltratan menosprecian. 😭
75,Anger,@adnradiochile Tienen el tremendo billete... Eso tienen x que abren la boca y queda la escoba,Tienen el tremendo billete... Eso tienen x que abren la boca queda la escoba
76,Anger,"Xq el silencio de los ""opositores"" @SergioMassa y @RandazzoF sobre el atropello a la procuraduría??","Xq el silencio de los ""opositores"" sobre el atropello la procuraduría??"
77,Anger,@rvenegasq Hoy todo es fake ,Hoy todo es fake
78,Anger,"Mi mayor problema es que no puedo estar enfadado. Siempre termino perdonando a las personas, incluso cuando no lo merecen.😚","Mi mayor problema es que puedo estar enfadado. Siempre termino perdonando las personas, incluso cuando lo merecen.😚"
79,Anger,"Me da mucha rabia cuando poneis: ""ay si yo hablara...."" HOLA????? PUES CUENTALOOOOOOOOO","da mucha rabia cuando poneis: ""ay si yo hablara...."" HOLA????? PUES CUENTALOOOOOOOOO"
80,Anger,Está forma tan cobarde de decirnos que no ... ☕️🍃,Está forma tan cobarde de decirnos que ... ☕️🍃
81,Anger,"Si tomó su vida por su decisión o por un juicio impedido por una trastorno depresivo mayor, es asunto de él. Mientras no sepan, no juzguen.","Si tomó su vida por su decisión por un juicio impedido por una trastorno depresivo mayor, es asunto de él. Mientras sepan, juzguen."
82,Anger,@MatiPagliano La concha de tu vieja! Mañana vas a terminar muerto en espalda ,La concha de tu vieja! Mañana vas terminar muerto en espalda
83,Anger,"Vergüenza me hace pasar Meli , perdón mami por las amigas que tengo jajaj","Vergüenza hace pasar Meli , perdón mami por las amigas que tengo jajaj"
84,Anger,"@FlavioBuccino gorilaje desesperado. chúpenla! VIVA PERÓN, CARAJO! ✌️","gorilaje desesperado. chúpenla! VIVA PERÓN, CARAJO! ✌️"
85,Anger,"En RD la gente cree que es por el escudo en la bandera que no entran los huracanes, más no en la misma provincia La Altagracia #Ironía","En RD la gente cree que es por el escudo en la bandera que entran los huracanes, más en la misma provincia La Altagracia #Ironía"
86,Anger,"Me dicen ""sin ofender"" y me ofende un vergo","dicen ""sin ofender"" ofende un vergo"
87,Anger,Queee uraaaaaa 😡😡😡😡😡😡,Queee uraaaaaa 😡😡😡😡😡😡
88,Anger,Voy a contener mi rabia contra los que bancan a miss bolivia,Voy contener mi rabia contra los que bancan miss bolivia
89,Anger,"Alguien puede explicarme la lógica de #TripTank? Por más que le busco lo gracioso, sólo quedo con la sensación de #WTF?","Alguien puede explicarme la lógica de #TripTank? Por más que le busco lo gracioso, sólo quedo con la sensación de #WTF?"
90,Anger,odio que me toquen el cuello que sensacion horrible no me gusta,odio que toquen el cuello que sensacion horrible gusta
91,Anger,"ESTAS""FANS""NUEVAS QUE HAN SALIDO DE LOS CHICOS SON FALSAS Y VIENEN A INSULTAR AL FANDOM DE 1D PENDEJA NI SIQUIERA HAZ VIVIDO LO QUE FUE ESO","ESTAS""FANS""NUEVAS QUE HAN SALIDO DE LOS CHICOS SON FALSAS VIENEN INSULTAR AL FANDOM DE 1D PENDEJA NI SIQUIERA HAZ VIVIDO LO QUE FUE ESO"
92,Anger,"Odio la gente cerrada, que no se deja ayudar. Para colmo la mayoría de la gente que quiero es así ","Odio la gente cerrada, que se deja ayudar. Para colmo la mayoría de la gente que quiero es así"
93,Anger,"al principio me pareciste muy divertida y jamas me diste el avionazo o te fuiste, la culpa es mía, no vuelvo a hablarte","al principio pareciste muy divertida jamas diste el avionazo te fuiste, la culpa es mía, vuelvo hablarte"
94,Anger,"@cquirarte Qué feo que venga la alegría se este prestando a esta farsa me dé secciona no pensé ver esto en tvz , eso solo en Televisa","Qué feo que venga la alegría se este prestando esta farsa dé secciona pensé ver esto en tvz , eso solo en Televisa"
95,Anger,"Merlí, How to get away, 13 reasons, StrAnger things, Narcos.. se van a dignar en aparecer denuevo algun dia? Me tienen abandonada..","Merlí, away, 13 reasons, StrAnger things, Narcos.. se van dignar en aparecer denuevo algun dia? tienen abandonada.."
96,Anger,"Debora P Volpin, 50 años, acaba de darse cuenta de la pobreza /conventillos, a pesar de que era conductora, NO PERIODISTA. En A fuego lento","Debora P Volpin, 50 años, acaba de darse cuenta de la pobreza /conventillos, pesar de que era conductora, PERIODISTA. En fuego lento"
97,Anger,@estevograndal @DDominguez_10 @carlosbertalo_ El palo  no va a funcionar subnormal😤,El palo va funcionar subnormal😤
98,Anger,@p_legancemodels @Lenin El voto más vergonzoso y repugnante de mi vida.,El voto más vergonzoso repugnante de mi vida.
99,Anger,Arroba Hathor quedé re ofendida.,Arroba Hathor quedé ofendida.
100,Anger,"@RACCAR Claro, por eso Guilty Gear Xrd o Dragon Ball FighterZ son una caca... #Ironía","Claro, por eso Guilty Gear Xrd Dragon Ball FighterZ son una caca... #Ironía"
101,Anger,"Pon a cantar rancheras a Vicente Fernández y José José. Uno no domina el género, sería 1 encuentro ridículo. Lo mismo pienso de esta ""pelea""","Pon cantar rancheras Vicente Fernández José José. Uno domina el género, sería 1 encuentro ridículo. Lo mismo pienso de esta ""pelea"""
102,Anger,¡Sólo no me ignores! —otro pisotón. Ya está con el berrinche—.,¡Sólo ignores! —otro pisotón. Ya está con el berrinche—.
103,Anger,"Despertar a esta hora y sin sueño, es un insulto para mis 8 horas de descanso.","Despertar esta hora sin sueño, es un insulto para mis 8 horas de descanso."
104,Anger,Indignación en España por declaraciones que comparan a aztecas con nazis 10:19 am,Indignación en España por declaraciones que comparan aztecas con nazis 10:19
105,Anger,Que indignación le tengo al chabón que me dijo prostituta por llevar puesto un cancán calado. La puta que te parió. Ni que fuera de red man.,Que indignación le tengo al chabón que dijo prostituta por llevar puesto un cancán calado. La puta que te parió. Ni que fuera de red man.
106,Anger,La verdad que azco me da que manchen algo tan lindo y encima lo hizo de resentido por que tienen un video de el garchando con un traba,La verdad que azco da que manchen algo tan lindo encima lo hizo de resentido por que tienen un video de el garchando con un traba
107,Anger,Se ponen a vender twits y todavía se indignan ,Se ponen vender twits todavía se indignan
108,Anger,@radiolared @califidalgo @soymarcelobaffa Q pedazo de caripelas ,Q pedazo de caripelas
109,Anger,"Camila no dejaba de reírse, terrible😂","Camila dejaba de reírse, terrible😂"
110,Anger,"Estoy un poco deprimido, me acordé de cosas que me hicieron en mi pasado que aún no logro superar pero me ayudaron a ser mejor persona 💔🤨","Estoy un poco deprimido, acordé de cosas que hicieron en mi pasado que aún logro superar pero ayudaron ser mejor persona 💔🤨"
111,Anger,"Se la dan de hombrecitos y mujercitas en Yodel, bien que si te tienen en frente no le dan los huevos para decirte las cosas, q pena dan ajaj","Se la dan de hombrecitos mujercitas en Yodel, bien que si te tienen en frente le dan los huevos para decirte las cosas, q pena dan ajaj"
112,Anger,Para que me hablas si dices que te amargo !? 🙄🙄 ni modo ya bye alv,Para que hablas si dices que te amargo !? 🙄🙄 ni modo ya bye alv
113,Anger,Aquí lo que importa eres tú #ironía??,Aquí lo que importa eres tú #ironía??
114,Anger,"@ArturoVilla_ @InakoDiazGuerra Con todo los estudios que presumes, no sabes hablar sin insultar?","Con todo los estudios que presumes, sabes hablar sin insultar?"
115,Anger,"Me gustaría tomarte en serio, pero hacerlo seria ofender tu inteligencia.","gustaría tomarte en serio, pero hacerlo seria ofender tu inteligencia."
116,Anger,Que horror jamás sentirte suficiente,Que horror jamás sentirte suficiente
117,Anger,@etronvar @MikeJoestar Chicos dejen de tomarse un post en joda tan en serio,Chicos dejen de tomarse un post en joda tan en serio
118,Anger,Si van a insultar por chat al menos háganlo con buena ortografía.,Si van insultar por chat al menos háganlo con buena ortografía.
119,Anger,Es solo enojo por no por comprenderte u.u,Es solo enojo por por comprenderte u.u
120,Anger,"¡VIDA, QUÉ QUIERES DE MÍ! ¡YA NO TENGO NADA MÁS QUE VOMITAR! ","¡VIDA, QUÉ QUIERES DE MÍ! ¡YA TENGO NADA MÁS QUE VOMITAR!"
121,Anger,"@NattyMore @Mum1112 Dije las (coshas) plural,mal pensadas no me gustan las ostras 😡","Dije las (coshas) plural,mal pensadas gustan las ostras 😡"
122,Anger,@MarioJinset @sergiomaeko @ledicenkar Como discutirle a Yisus?  ,Como discutirle Yisus?
123,Anger,4 Temporadas 4 temporadas para que se dieran el primer beso y yo emocionado como niño con una paleta del chavo. Algo va mal en mi vida.,4 Temporadas 4 temporadas para que se dieran el primer beso yo emocionado como niño con una paleta del chavo. Algo va mal en mi vida.
124,Anger,"Tremenda bronca, mejor me voy a dormir para no matar a nadie","Tremenda bronca, mejor voy dormir para matar nadie"
125,Anger,Cpn lo grave y preocupante que es la herida de Jaemin se burlan así lpm my boy deserves better,Cpn lo grave preocupante que es la herida de Jaemin se burlan así lpm boy deserves better
126,Anger,"Me enoja que me agarre imsomnio cuando no dormimos juntos 😠 No tengo a quien abrazar, ni molestar porque no puedo dormir ","enoja que agarre imsomnio cuando dormimos juntos 😠 tengo quien abrazar, ni molestar porque puedo dormir"
127,Anger,Muchos entre mas tienen mas ambicionan y los pies se les alejan de la tierra por que ya no les importa que les pase a los demas egoistas ,Muchos entre mas tienen mas ambicionan los pies se les alejan de la tierra por que ya les importa que les pase los demas egoistas
128,Anger,"He tomado la decisión de no utilizar Waa por un tiempo, no debo explicaciones a nadie del por qué lo he hecho. Hay muchos ardidos por eso. 😅","tomado la decisión de utilizar Waa por un tiempo, debo explicaciones nadie del por qué lo hecho. Hay muchos ardidos por eso. 😅"
129,Anger,"Entramos con mi sobrina a mi cuarto, prendí la luz y ella dijo HOLAAAAA! a quién mierda saludó? ","Entramos con mi sobrina mi cuarto, prendí la luz ella dijo HOLAAAAA! quién mierda saludó?"
130,Anger,Bojan no me tiene contenta.,Bojan tiene contenta.
131,Anger,Por que el te grite por algo  no significa que te tengo mas que desagradable con migo 😣😒😒,Por que el te grite por algo significa que te tengo mas que desagradable con migo 😣😒😒
132,Anger,"@AiNoSenshiYunie @darkzent Que triste que piense asi hombre, sigale hechando caca a los de morena mejor","Que triste que piense asi hombre, sigale hechando caca los de morena mejor"
133,Anger,"#CAPRICORNIO se puede irritar por cualquier cosa, incluso por tonterías, así que cuidado con QUÉ tonterías dices o haces.","#CAPRICORNIO se puede irritar por cualquier cosa, incluso por tonterías, así que cuidado con QUÉ tonterías dices haces."
134,Anger,@alexlozano779 Que malooooo ,Que malooooo
135,Anger,Golpeas pataleas y haces berrinche porque no quiero ser tu novio 😝#JustFriends,Golpeas pataleas haces berrinche porque quiero ser tu novio 😝#JustFriends
136,Anger,Vivo de mal genio y esta mierda me tiene mas amargada,Vivo de mal genio esta mierda tiene mas amargada
137,Anger,"Por lo general no critico ese tipo de cosas, pero... Wtf la gente rumbeando hoy? Como si mañana fuese un día festivo","Por lo general critico ese tipo de cosas, pero... Wtf la gente rumbeando hoy? Como si mañana fuese un día festivo"
138,Anger,"@btiradotrad Te iba a decir algo de la palabra ""Empoderado"", pero resulta que está admitida por la RAE y ahora estoy enfadado con la RAE :(","Te iba decir algo de la palabra ""Empoderado"", pero resulta que está admitida por la RAE ahora estoy enfadado con la RAE :("
139,Anger,"@IvanSalum2 Yo también,  pero sigo un poco enojada","Yo también, pero sigo un poco enojada"
140,Anger,"Vivir amargado, estresado, impaciente o triste no tiene sentido. No tiene ningún sentido instrumental. Nada se va a lograr en esos estados.","Vivir amargado, estresado, impaciente triste tiene sentido. tiene ningún sentido instrumental. Nada se va lograr en esos estados."
141,Anger,"Che no hablando en serio, la joda se cancela. pd: tuccio chupapija","Che hablando en serio, la joda se cancela. pd: tuccio chupapija"
142,Anger,"Hasta con una traba encima montan videos en Instagram, no tienen temor de Dios. No respetan oiga.","Hasta con una traba encima montan videos en Instagram, tienen temor de Dios. respetan oiga."
143,Anger,"@Miguelrs170 Ay enserio sii lo odiiiiiiio jajajajajaja, pero se ve bien nice ","Ay enserio sii lo odiiiiiiio jajajajajaja, pero se bien nice"
144,Anger,"@ReniGenzano No entiendo que es lo que te causa risa, ballena mantenida 😒❤️","entiendo que es lo que te causa risa, ballena mantenida 😒❤️"
145,Anger,"@marcoporchile @sebastianpinera El viejo truco de mentir, mentir...millones? El primo es dueño? Tan desesperado Marquitos ??","El viejo truco de mentir, mentir...millones? El primo es dueño? Tan desesperado Marquitos ??"
146,Anger,No sé de dónde sale estar salty porque Steve Carrell no ha ganado ningún Emmy por The Office pero estoy 100% indignada yo también.,sé de dónde sale estar salty porque Steve Carrell ha ganado ningún Emmy por Office pero estoy 100% indignada yo también.
147,Anger,Más ansiosa que nunca tramitame 43 litros de lejia,Más ansiosa que nunca tramitame 43 litros de lejia
148,Anger,Los problema del comunismo se resuelven con capital #LaUnicaVerdad #Ironia #Estafa,Los problema del comunismo se resuelven con capital #LaUnicaVerdad #Ironia #Estafa
149,Anger,"Me acuerdo que mañana viene la señora y me enojo porque me tengo que levantar temprano pero pues tq sra lidia, si no la casa fuera un asco 😢","acuerdo que mañana viene la señora enojo porque tengo que levantar temprano pero pues tq sra lidia, si la casa fuera un asco 😢"
150,Anger,Para tapar un desaguisado monta uno que parezca mayor  Y el 1-O parece hermoso. ,Para tapar un desaguisado monta uno que parezca mayor el 1-O parece hermoso.
151,Anger,Así con razón se me cae tanto el pelo con tanto Disgusto que me dan estos hijos de puta.,Así con razón se cae tanto el pelo con tanto Disgusto que dan estos hijos de puta.
152,Anger,"No entiendo si no me duermo por manija, por pelotuda o porque estoy muy bajón+enojada! No se, yo ya no se 😣","entiendo si duermo por manija, por pelotuda porque estoy muy bajón+enojada! se, yo ya se 😣"
153,Anger,"@Oskhar111099 Donde estaba independiente es lo que te digo!!! Cómo jugaba, eran horrible, este es el mejor independiente de los últimos años","Donde estaba independiente es lo que te digo!!! Cómo jugaba, eran horrible, este es el mejor independiente de los últimos años"
154,Anger,Me corte mi deditoooo!!😣 malditas pastillas buscare venganza haha 😄,corte mi deditoooo!!😣 malditas pastillas buscare venganza haha 😄
155,Anger,La primera act en Derecho fue imaginar una soc sin Estado. La profesora ya va a conocer mi lado anarco 🙈 ,La primera act en Derecho fue imaginar una soc sin Estado. La profesora ya va conocer mi lado anarco 🙈
156,Anger,"—da un pisotón en el suelo y coloca los brazos en jarra, todo ofendido—. ¡Oe! ¡Oxigenada!","—da un pisotón en el suelo coloca los brazos en jarra, todo ofendido—. ¡Oe! ¡Oxigenada!"
157,Anger,"@xSilenceDoctor « pinta de ser un caos provocado por el adolescente fugado, quien poco a poco iba espabilando por los lametones del perro »","« pinta de ser un caos provocado por el adolescente fugado, quien poco poco iba espabilando por los lametones del perro »"
158,Anger,"Que horror, llegue a donde NO QUERIA! Ya valí.","Que horror, llegue donde QUERIA! Ya valí."
159,Anger,se me ha caído medio vaso de leche casi hirviendo en la mano   buenos días,se ha caído medio vaso de leche casi hirviendo en la mano buenos días
160,Anger,"Quizás antes de provocar linchamientos públicos podríais buscar algo más de fundamento que el ""me lo dijo no se quién"".","Quizás antes de provocar linchamientos públicos podríais buscar algo más de fundamento que el ""me lo dijo se quién""."
161,Anger,@CalebMcKena_RF Pero.. era necesario que dijeses todas esas cosas? Creí que era una venganza,Pero.. era necesario que dijeses todas esas cosas? Creí que era una venganza
162,Anger,@_FranciscoB77 Si estas resentido la concha de tu hermana te importan mas que yo esas mugrientas,Si estas resentido la concha de tu hermana te importan mas que yo esas mugrientas
163,Anger,"Muero de la risa escuchando a Esdras como le tira a Mel,  en lo que quedaron, es terrible los políticos en este país.","Muero de la risa escuchando Esdras como le tira Mel, en lo que quedaron, es terrible los políticos en este país."
164,Anger,ALIVIANATE CON LIVIA cuantas veces te dije llorando no juegues conmigo ni me eches mentiras,ALIVIANATE CON LIVIA cuantas veces te dije llorando juegues conmigo ni eches mentiras
165,Anger,-Cuando Ekmarim le gritaba una parte de él se enfurecía pero por otra se le notaba abatido... todos estos meses encerrado y solo +,-Cuando Ekmarim le gritaba una parte de él se enfurecía pero por otra se le notaba abatido... todos estos meses encerrado solo +
166,Anger,@TAMARA_SUJU Este como que se fumo una lumpia o esta cansado,Este como que se fumo una lumpia esta cansado
167,Anger,cansada de la gente,cansada de la gente
168,Anger,Se ve que es hiper difícil preguntar en lugar de que te llueva el cabreo de la otra persona y encima llamarle amargado. xD,Se que es hiper difícil preguntar en lugar de que te llueva el cabreo de la otra persona encima llamarle amargado. xD
169,Anger,yo preocupada por lo q le paso y el ni la hora me dice 💔😣,yo preocupada por lo q le paso el ni la hora dice 💔😣
170,Anger,Que lluvia de mierda ,Que lluvia de mierda
171,Anger,Los martes yo estaba bien😡 no tenía ni que venir aquí a joder ,Los martes yo estaba bien😡 tenía ni que venir aquí joder
